t,x_r,y_r,z_r,v_x_r,v_y_r,v_z_r,psi_r
1034,0,0,-4.5,0,0,-4.5,0
1047,0,0,-4.5,0,0,-4.5,0
1058,0,0,-4.5,0,0,-4.33411,0
1070,0,0,-4.5,0,0,-4.20006,0
1083,0,0,-4.5,0,0,-4.01713,0
1095,0,0,-4.5,0,0,-3.8785,0
1107,0,0,-4.5,0,0,-3.73151,0
1118,0,0,-4.5,0,0,-3.60088,0
1128,0,0,-4.5,0,0,-3.48548,0
1140,0,0,-4.5,0,0,-3.36178,0
1151,0,0,-4.5,0,0,-3.25251,0
1164,0,0,-4.5,0,0,-3.13541,0
1175,0,0,-4.5,0,0,-3.00095,0
1186,0,0,-4.5,0,0,-2.89101,0
1199,0,0,-4.5,0,0,-2.78421,0
1210,0,0,-4.5,0,0,-2.67105,0
1221,0,0,-4.5,0,0,-2.5797,0
1234,0,0,-4.5,0,0,-2.47296,0
1248,0,0,-4.5,0,0,-2.37821,0
1261,0,0,-4.5,0,0,-2.27783,0
1272,0,0,-4.5,0,0,-2.18065,0
1283,0,0,-4.5,0,0,-2.09441,0
1294,0,0,-4.5,0,0,-2.01069,0
1306,0,0,-4.5,0,0,-1.92205,0
1319,0,0,-4.5,0,0,-1.85056,0
1331,0,0,-4.5,0,0,-1.76013,0
1343,0,0,-4.5,0,0,-1.67959,0
1356,0,0,-4.5,0,0,-1.60167,0
1368,0,0,-4.5,0,0,-1.52629,0
1379,0,0,-4.5,0,0,-1.45947,0
1391,0,0,-4.5,0,0,-1.39466,0
1402,0,0,-4.5,0,0,-1.32611,0
1415,0,0,-4.5,0,0,-1.26536,0
1427,0,0,-4.5,0,0,-1.19575,0
1440,0,0,-4.5,0,0,-1.12867,0
1454,0,0,-4.5,0,0,-1.06404,0
1465,0,0,-4.5,0,0,-1.01614,0
1476,0,0,-4.5,0,0,-0.964952,0
1488,0,0,-4.5,0,0,-0.910853,0
1501,0,0,-4.5,0,0,-0.862963,0
1516,0,0,-4.5,0,0,-0.803938,0
1528,0,0,-4.5,0,0,-0.743252,0
1542,0,0,-4.5,0,0,-0.696818,0
1555,0,0,-4.5,0,0,-0.648279,0
1566,0,0,-4.5,0,0,-0.605187,0
1580,0,0,-4.5,0,0,-0.556698,0
1593,0,0,-4.5,0,0,-0.520186,0
1605,0,0,-4.5,0,0,-0.478458,0
1617,0,0,-4.5,0,0,-0.44145,0
1639,0,0,-4.5,0,0,-0.387958,0
1652,0,0,-4.5,0,0,-0.345832,0
1664,0,0,-4.5,0,0,-0.313692,0
1677,0,0,-4.5,0,0,-0.280173,0
1689,0,0,-4.5,0,0,-0.252967,0
1705,0,0,-4.5,0,0,-0.217157,0
1715,0,0,-4.5,0,0,-0.189877,0
1727,0,0,-4.5,0,0,-0.16802,0
1738,0,0,-4.5,0,0,-0.144756,0
1751,0,0,-4.5,0,0,-0.124366,0
1777,0,0,-4.5,0,0,-0.0987306,0
1791,0,0,-4.5,0,0,-0.0496659,0
1811,0,0,-4.5,0,0,-0.0186505,0
1831,0,0,-4.5,0,0,0.00722504,0
1850,0,0,-4.5,0,0,0.0362482,0
1865,0,0,-4.5,0,0,0.0647593,0
1884,0,0,-4.5,0,0,0.0832896,0
1905,0,0,-4.5,0,0,0.107154,0
1924,0,0,-4.5,0,0,0.132844,0
1939,0,0,-4.5,0,0,0.151047,0
1955,0,0,-4.5,0,0,0.165051,0
1968,0,0,-4.5,0,0,0.179224,0
1979,0,0,-4.5,0,0,0.188991,0
1990,0,0,-4.5,0,0,0.198316,0
2001,0,0,-4.5,0,0,0.206405,0
2012,0,0,-4.5,0,0,0.214926,0
2023,0,0,-4.5,0,0,0.222306,0
2035,0,0,-4.5,0,0,0.230069,0
2048,0,0,-4.5,0,0,0.238795,0
2061,0,0,-4.5,0,0,0.246375,0
2074,0,0,-4.5,0,0,0.25413,0
2085,0,0,-4.5,0,0,0.260848,0
2097,0,0,-4.5,0,0,0.267174,0
2110,0,0,-4.5,0,0,0.273121,0
2123,0,0,-4.5,0,0,0.278704,0
2140,0,0,-4.5,0,0,0.284805,0
2152,0,0,-4.5,0,0,0.29125,0
2163,0,0,-4.5,0,0,0.295282,0
2177,0,0,-4.5,0,0,0.299738,0
2189,0,0,-4.5,0,0,0.303527,0
2202,0,0,-4.5,0,0,0.307318,0
2215,0,0,-4.5,0,0,0.310517,0
2232,0,0,-4.5,0,0,0.31467,0
2244,0,0,-4.5,0,0,0.317451,0
2257,0,0,-4.5,0,0,0.319561,0
2268,0,0,-4.5,0,0,0.321824,0
2286,0,0,-4.5,0,0,0.323514,0
2302,0,0,-4.5,0,0,0.326394,0
2316,0,0,-4.5,0,0,0.327674,0
2335,0,0,-4.5,0,0,0.329211,0
2361,0,0,-4.5,0,0,0.33051,0
2374,0,0,-4.5,0,0,0.331591,0
2398,0,0,-4.5,0,0,0.3318,0
2420,0,0,-4.5,0,0,0.331934,0
2441,0,0,-4.5,0,0,0.331486,0
2464,0,0,-4.5,0,0,0.330668,0
2491,0,0,-4.5,0,0,0.329104,0
2513,0,0,-4.5,0,0,0.327519,0
2542,0,0,-4.5,0,0,0.324716,0
2559,0,0,-4.5,0,0,0.322114,0
2579,0,0,-4.5,0,0,0.320218,0
2604,0,0,-4.5,0,0,0.317264,0
2624,0,0,-4.5,0,0,0.313492,0
2643,0,0,-4.5,0,0,0.310673,0
2670,0,0,-4.5,0,0,0.307563,0
2686,0,0,-4.5,0,0,0.30296,0
2706,0,0,-4.5,0,0,0.300091,0
2738,0,0,-4.5,0,0,0.296232,0
2757,0,0,-4.5,0,0,0.290177,0
2779,0,0,-4.5,0,0,0.28723,0
2813,0,0,-4.5,0,0,0.280657,0
2830,0,0,-4.5,0,0,0.275542,0
2861,0,0,-4.5,0,0,0.269516,0
2885,0,0,-4.5,0,0,0.265514,0
2899,0,0,-4.5,0,0,0.260427,0
2918,0,0,-4.5,0,0,0.257654,0
2942,0,0,-4.5,0,0,0.252951,0
2962,0,0,-4.5,0,0,0.248236,0
2987,0,0,-4.5,0,0,0.243517,0
3005,0,0,-4.5,0,0,0.237944,0
3018,0,0,-4.5,0,0,0.23495,0
3046,0,0,-4.5,0,0,0.231109,0
3073,0,0,-4.5,0,0,0.224518,0
3087,0,0,-4.5,0,0,0.220509,0
3107,0,0,-4.5,0,0,0.217991,0
3129,0,0,-4.5,0,0,0.213395,0
3153,0,0,-4.5,0,0,0.208628,0
3177,0,0,-4.5,0,0,0.203907,0
3194,0,0,-4.5,0,0,0.198829,0
3213,0,0,-4.5,0,0,0.19602,0
3239,0,0,-4.5,0,0,0.192036,0
3253,0,0,-4.5,0,0,0.187111,0
3270,0,0,-4.5,0,0,0.183811,0
3302,0,0,-4.5,0,0,0.180736,0
3318,0,0,-4.5,0,0,0.174839,0
3331,0,0,-4.5,0,0,0.17223,0
3354,0,0,-4.5,0,0,0.169092,0
3373,0,0,-4.5,0,0,0.165627,0
3386,0,0,-4.5,0,0,0.162209,0
3420,0,0,-4.5,0,0,0.159016,0
3435,0,0,-4.5,0,0,0.153942,0
3453,0,0,-4.5,0,0,0.151547,0
3472,0,0,-4.5,0,0,0.148334,0
3497,0,0,-4.5,0,0,0.144004,0
3516,0,0,-4.5,0,0,0.140745,0
3538,0,0,-4.5,0,0,0.137862,0
3557,0,0,-4.5,0,0,0.134393,0
3582,0,0,-4.5,0,0,0.13161,0
3603,0,0,-4.5,0,0,0.127654,0
3624,0,0,-4.5,0,0,0.124682,0
3648,0,0,-4.5,0,0,0.121474,0
3678,0,0,-4.5,0,0,0.116618,0
3712,0,0,-4.5,0,0,0.114407,0
3736,0,0,-4.5,0,0,0.108827,0
3754,0,0,-4.5,0,0,0.106215,0
3776,0,0,-4.5,0,0,0.104294,0
3805,0,0,-4.5,0,0,0.10026,0
3822,0,0,-4.5,0,0,0.0979428,0
3848,0,0,-4.5,0,0,0.0951929,0
3861,0,0,-4.5,0,0,0.0929756,0
3878,0,0,-4.5,0,0,0.0914888,0
3911,0,0,-4.5,0,0,0.0894585,0
3928,0,0,-4.5,0,0,0.0858078,0
3939,0,0,-4.5,0,0,0.0843139,0
3957,0,0,-4.5,0,0,0.0828428,0
3985,0,0,-4.5,0,0,0.0810838,0
4002,0,0,-4.5,0,0,0.0781393,0
4015,0,0,-4.5,0,0,0.0768614,0
4042,0,0,-4.5,0,0,0.0751181,0
4057,0,0,-4.5,0,0,0.0729351,0
4078,0,0,-4.5,0,0,0.071641,0
4106,0,0,-4.5,0,0,0.0691843,0
4125,0,0,-4.5,0,0,0.0673323,0
4146,0,0,-4.5,0,0,0.0656109,0
4171,0,0,-4.5,0,0,0.0631723,0
4190,0,0,-4.5,0,0,0.0620346,0
4224,0,0,-4.5,0,0,0.0594769,0
4243,0,0,-4.5,0,0,0.0577846,0
4265,0,0,-4.5,0,0,0.0560613,0
4297,0,0,-4.5,0,0,0.0542393,0
4314,0,0,-4.5,0,0,0.0524006,0
4354,0,0,-4.5,0,0,0.0508933,0
4388,0,0,-4.5,0,0,0.0483589,0
4419,0,0,-4.5,0,0,0.0462594,0
4462,0,0,-4.5,0,0,0.0440612,0
4491,0,0,-4.5,0,0,0.0418434,0
4522,0,0,-4.5,0,0,0.0403972,0
4538,0,0,-4.5,0,0,0.0387287,0
4559,0,0,-4.5,0,0,0.0380044,0
4584,0,0,-4.5,0,0,0.0369368,0
4606,0,0,-4.5,0,0,0.0354519,0
4621,0,0,-4.5,0,0,0.0347853,0
4641,0,0,-4.5,0,0,0.0339899,0
4671,0,0,-4.5,0,0,0.032937,0
4684,0,0,-4.5,0,0,0.0318265,0
4709,0,0,-4.5,0,0,0.0311813,0
4726,0,0,-4.5,0,0,0.0301266,0
4754,0,0,-4.5,0,0,0.0294323,0
4778,0,0,-4.5,0,0,0.0281544,0
4800,0,0,-4.5,0,0,0.0273504,0
4814,0,0,-4.5,0,0,0.0266428,0
4844,0,0,-4.5,0,0,0.0258799,0
4861,0,0,-4.5,0,0,0.0251021,0
4888,0,0,-4.5,0,0,0.0243812,0
4911,0,0,-4.5,0,0,0.0235133,0
4924,0,0,-4.5,0,0,0.022933,0
4945,0,0,-4.5,0,0,0.022429,0
4971,0,0,-4.5,0,0,0.0216584,0
4984,0,0,-4.5,0,0,0.0211515,0
5011,0,0,-4.5,0,0,0.0207143,0
5023,0,0,-4.5,0,0,0.0200286,0
5051,0,0,-4.5,0,0,0.0197244,0
5072,0,0,-4.5,0,0,0.0188251,0
5093,0,0,-4.5,0.5,0,0,0
5117,0,0,-4.5,0.5,0,0,0
5134,0,0,-4.5,0.5,0,0,0
5163,0,0,-4.5,0.5,0,0,0
5184,0,0,-4.5,0.5,0,0,0
5203,0,0,-4.5,0.5,0,0,0
5222,0,0,-4.5,0.5,0,0,0
5253,0,0,-4.5,0.5,0,0,0
5277,0,0,-4.5,0.5,0,0,0
5300,0,0,-4.5,0.5,0,0,0
5314,0,0,-4.5,0.5,0,0,0
5337,0,0,-4.5,0.5,0,0,0
5357,0,0,-4.5,0.5,0,0,0
5382,0,0,-4.5,0.5,0,0,0
5404,0,0,-4.5,0.5,0,0,0
5429,0,0,-4.5,0.5,0,0,0
5476,0,0,-4.5,0.5,0,0,0
5497,0,0,-4.5,0.5,0,0,0
5518,0,0,-4.5,0.5,0,0,0
5537,0,0,-4.5,0.5,0,0,0
5562,0,0,-4.5,0.5,0,0,0
5582,0,0,-4.5,0.5,0,0,0
5595,0,0,-4.5,0.5,0,0,0
5622,0,0,-4.5,0.5,0,0,0
5642,0,0,-4.5,0.5,0,0,0
5656,0,0,-4.5,0.5,0,0,0
5686,0,0,-4.5,0.5,0,0,0
5706,0,0,-4.5,0.5,0,0,0
5733,0,0,-4.5,0.5,0,0,0
5754,0,0,-4.5,0.5,0,0,0
5778,0,0,-4.5,0.5,0,0,0
