t,x,z,z,v_x,v_y,v_z,phi,theta,psi,p,q,r,phi_r,theta_r,psi_r,force_0,force_1,force_2
1053,0,0,0,0,0,-5.3716,0,0,0,0,0,0,0,-0,0,0,0,-15
1064,0,0,-0.0590876,0,0,-5.31329,0,0,0,0,0,0,0,-0,0,0,0,-4.4994
1074,0,0,-0.112221,0,0,-5.26056,0,0,0,0,0,0,0,-0,0,0,0,-4.52621
1085,0,0,-0.170087,0,0,-5.20282,0,0,0,0,0,0,0,-0,0,0,0,-4.55139
1095,0,0,-0.222115,0,0,-5.15062,0,0,0,0,0,0,0,-0,0,0,0,-4.57987
1106,0,0,-0.278772,0,0,-5.09349,0,0,0,0,0,0,0,-0,0,0,0,-4.60649
1116,0,0,-0.329707,0,0,-5.04186,0,0,0,0,0,0,0,-0,0,0,0,-4.63647
1127,0,0,-0.385167,0,0,-4.98536,0,0,0,0,0,0,0,-0,0,0,0,-4.66438
1137,0,0,-0.435021,0,0,-4.93432,0,0,0,0,0,0,0,-0,0,0,0,-4.69572
1148,0,0,-0.489298,0,0,-4.87849,0,0,0,0,0,0,0,-0,0,0,0,-4.72481
1160,0,0,-0.54784,0,0,-4.81798,0,0,0,0,0,0,0,-0,0,0,0,-4.75738
1172,0,0,-0.605656,0,0,-4.75791,0,0,0,0,0,0,0,-0,0,0,0,-4.79354
1183,0,0,-0.653235,0,0,-4.70821,0,0,0,0,0,0,0,-0,0,0,0,-4.83036
1192,0,0,-0.695609,0,0,-4.66376,0,0,0,0,0,0,0,-0,0,0,0,-4.86157
1203,0,0,-0.74691,0,0,-4.60975,0,0,0,0,0,0,0,-0,0,0,0,-4.89
1214,0,0,-0.793008,0,0,-4.561,0,0,0,0,0,0,0,-0,0,0,0,-4.92514
1224,0,0,-0.838618,0,0,-4.51258,0,0,0,0,0,0,0,-0,0,0,0,-4.95746
1235,0,0,-0.888256,0,0,-4.45967,0,0,0,0,0,0,0,-0,0,0,0,-4.99012
1246,0,0,-0.937313,0,0,-4.40716,0,0,0,0,0,0,0,-0,0,0,0,-5.02639
1257,0,0,-0.981384,0,0,-4.35979,0,0,0,0,0,0,0,-0,0,0,0,-5.063
1266,0,0,-1.02062,0,0,-4.31746,0,0,0,0,0,0,0,-0,0,0,0,-5.09658
1278,0,0,-1.06811,0,0,-4.26606,0,0,0,0,0,0,0,-0,0,0,0,-5.12702
1289,0,0,-1.11077,0,0,-4.2197,0,0,0,0,0,0,0,-0,0,0,0,-5.16446
1299,0,0,-1.15297,0,0,-4.17369,0,0,0,0,0,0,0,-0,0,0,0,-5.19872
1310,0,0,-1.19888,0,0,-4.12345,0,0,0,0,0,0,0,-0,0,0,0,-5.23317
1322,0,0,-1.24424,0,0,-4.07364,0,0,0,0,0,0,0,-0,0,0,0,-5.27127
1333,0,0,-1.28905,0,0,-4.02424,0,0,0,0,0,0,0,-0,0,0,0,-5.30955
1343,0,0,-1.32929,0,0,-3.97972,0,0,0,0,0,0,0,-0,0,0,0,-5.348
1353,0,0,-1.36909,0,0,-3.93555,0,0,0,0,0,0,0,-0,0,0,0,-5.38309
1365,0,0,-1.41238,0,0,-3.88735,0,0,0,0,0,0,0,-0,0,0,0,-5.41829
1375,0,0,-1.45125,0,0,-3.84393,0,0,0,0,0,0,0,-0,0,0,0,-5.45712
1387,0,0,-1.49738,0,0,-3.79224,0,0,0,0,0,0,0,-0,0,0,0,-5.4925
1400,0,0,-1.54289,0,0,-3.74106,0,0,0,0,0,0,0,-0,0,0,0,-5.53503
1411,0,0,-1.5803,0,0,-3.69883,0,0,0,0,0,0,0,-0,0,0,0,-5.57764
1423,0,0,-1.62099,0,0,-3.65278,0,0,0,0,0,0,0,-0,0,0,0,-5.61319
1433,0,0,-1.65751,0,0,-3.6113,0,0,0,0,0,0,0,-0,0,0,0,-5.65232
1444,0,0,-1.69724,0,0,-3.56607,0,0,0,0,0,0,0,-0,0,0,0,-5.68791
1456,0,0,-1.74003,0,0,-3.51719,0,0,0,0,0,0,0,-0,0,0,0,-5.72705
1467,0,0,-1.7752,0,0,-3.47689,0,0,0,0,0,0,0,-0,0,0,0,-5.76973
1478,0,0,-1.81345,0,0,-3.43295,0,0,0,0,0,0,0,-0,0,0,0,-5.80528
1492,0,0,-1.86151,0,0,-3.37757,0,0,0,0,0,0,0,-0,0,0,0,-5.84434
1503,0,0,-1.89866,0,0,-3.3346,0,0,0,0,0,0,0,-0,0,0,0,-5.89398
1513,0,0,-1.93201,0,0,-3.29593,0,0,0,0,0,0,0,-0,0,0,0,-5.9329
1524,0,0,-1.96826,0,0,-3.25378,0,0,0,0,0,0,0,-0,0,0,0,-5.96821
1534,0,0,-2.0008,0,0,-3.21585,0,0,0,0,0,0,0,-0,0,0,0,-6.00697
1546,0,0,-2.03618,0,0,-3.17451,0,0,0,0,0,0,0,-0,0,0,0,-6.04211
1557,0,0,-2.0711,0,0,-3.1336,0,0,0,0,0,0,0,-0,0,0,0,-6.08067
1569,0,0,-2.10557,0,0,-3.09311,0,0,0,0,0,0,0,-0,0,0,0,-6.1191
1584,0,0,-2.15196,0,0,-3.03847,0,0,0,0,0,0,0,-0,0,0,0,-6.15741
1598,0,0,-2.1945,0,0,-2.98821,0,0,0,0,0,0,0,-0,0,0,0,-6.20946
1610,0,0,-2.23036,0,0,-2.9457,0,0,0,0,0,0,0,-0,0,0,0,-6.25778
1624,0,0,-2.2716,0,0,-2.89668,0,0,0,0,0,0,0,-0,0,0,0,-6.29897
1636,0,0,-2.30636,0,0,-2.85525,0,0,0,0,0,0,0,-0,0,0,0,-6.34681
1650,0,0,-2.34348,0,0,-2.81088,0,0,0,0,0,0,0,-0,0,0,0,-6.38756
1663,0,0,-2.37721,0,0,-2.77046,0,0,0,0,0,0,0,-0,0,0,0,-6.43147
1675,0,0,-2.41045,0,0,-2.73052,0,0,0,0,0,0,0,-0,0,0,0,-6.47176
1690,0,0,-2.44868,0,0,-2.68449,0,0,0,0,0,0,0,-0,0,0,0,-6.51181
1705,0,0,-2.48895,0,0,-2.63586,0,0,0,0,0,0,0,-0,0,0,0,-6.55825
1717,0,0,-2.51794,0,0,-2.60075,0,0,0,0,0,0,0,-0,0,0,0,-6.60764
1729,0,0,-2.54655,0,0,-2.56603,0,0,0,0,0,0,0,-0,0,0,0,-6.64356
1741,0,0,-2.57734,0,0,-2.52858,0,0,0,0,0,0,0,-0,0,0,0,-6.67926
1753,0,0,-2.60516,0,0,-2.49467,0,0,0,0,0,0,0,-0,0,0,0,-6.71795
1764,0,0,-2.6326,0,0,-2.46116,0,0,0,0,0,0,0,-0,0,0,0,-6.75317
1778,0,0,-2.66459,0,0,-2.422,0,0,0,0,0,0,0,-0,0,0,0,-6.78815
1789,0,0,-2.69124,0,0,-2.38933,0,0,0,0,0,0,0,-0,0,0,0,-6.8292
1802,0,0,-2.71991,0,0,-2.35409,0,0,0,0,0,0,0,-0,0,0,0,-6.86365
1813,0,0,-2.7458,0,0,-2.3222,0,0,0,0,0,0,0,-0,0,0,0,-6.90096
1826,0,0,-2.77367,0,0,-2.28782,0,0,0,0,0,0,0,-0,0,0,0,-6.93489
1838,0,0,-2.80112,0,0,-2.25388,0,0,0,0,0,0,0,-0,0,0,0,-6.97162
1851,0,0,-2.83042,0,0,-2.21758,0,0,0,0,0,0,0,-0,0,0,0,-7.00806
1865,0,0,-2.85925,0,0,-2.1818,0,0,0,0,0,0,0,-0,0,0,0,-7.04719
1877,0,0,-2.88325,0,0,-2.15194,0,0,0,0,0,0,0,-0,0,0,0,-7.08595
1889,0,0,-2.90692,0,0,-2.12244,0,0,0,0,0,0,0,-0,0,0,0,-7.11845
1902,0,0,-2.93239,0,0,-2.09065,0,0,0,0,0,0,0,-0,0,0,0,-7.15067
1915,0,0,-2.95957,0,0,-2.05666,0,0,0,0,0,0,0,-0,0,0,0,-7.18554
1927,0,0,-2.98425,0,0,-2.02574,0,0,0,0,0,0,0,-0,0,0,0,-7.22296
1939,0,0,-3.00856,0,0,-1.99523,0,0,0,0,0,0,0,-0,0,0,0,-7.25715
1951,0,0,-3.0325,0,0,-1.96512,0,0,0,0,0,0,0,-0,0,0,0,-7.29103
1965,0,0,-3.06002,0,0,-1.93046,0,0,0,0,0,0,0,-0,0,0,0,-7.32458
1977,0,0,-3.08318,0,0,-1.90122,0,0,0,0,0,0,0,-0,0,0,0,-7.36334
1989,0,0,-3.106,0,0,-1.87238,0,0,0,0,0,0,0,-0,0,0,0,-7.39618
2003,0,0,-3.13034,0,0,-1.84155,0,0,0,0,0,0,0,-0,0,0,0,-7.4287
2015,0,0,-3.15243,0,0,-1.81351,0,0,0,0,0,0,0,-0,0,0,0,-7.46357
2028,0,0,-3.17601,0,0,-1.78355,0,0,0,0,0,0,0,-0,0,0,0,-7.4954
2040,0,0,-3.19741,0,0,-1.75631,0,0,0,0,0,0,0,-0,0,0,0,-7.52954
2053,0,0,-3.22024,0,0,-1.7272,0,0,0,0,0,0,0,-0,0,0,0,-7.56069
2068,0,0,-3.24615,0,0,-1.69411,0,0,0,0,0,0,0,-0,0,0,0,-7.59408
2081,0,0,-3.26818,0,0,-1.66593,0,0,0,0,0,0,0,-0,0,0,0,-7.63217
2095,0,0,-3.2915,0,0,-1.63603,0,0,0,0,0,0,0,-0,0,0,0,-7.66473
2110,0,0,-3.31604,0,0,-1.60452,0,0,0,0,0,0,0,-0,0,0,0,-7.69939
2124,0,0,-3.3369,0,0,-1.57769,0,0,0,0,0,0,0,-0,0,0,0,-7.73605
